"","X","id","itemname","itemtype","datecreated","datedumped","mealtype","actiontaken","actionreason","quantity","quantitytype","locationid"
"1",175,175,"Cream of Wheat","Menu","2015-03-23 14:50:15","2015-03-23","","Discarded","Over Production",9,"Pound",9
"2",176,176,"Scrambled Eggs","Menu","2015-03-23 14:50:51","2015-03-23","","Discarded","Over Production",5,"Pound",9
"3",177,177,"Scrambled Eggs","Menu","2015-03-23 14:51:11","2015-03-23","","Discarded","Over Production",5,"Pound",9
"4",178,178,"Whole Wheat French Toast Stix","Menu","2015-03-23 14:54:02","2015-03-23","","Discarded","Over Production",10,"Each",9
"5",179,179,"Home Fries","Menu","2015-03-23 14:55:53","2015-03-23","","Discarded","Over Production",3,"Pound",9
"6",180,180,"Corned Beef Hash","Menu","2015-03-23 15:01:37","2015-03-23","","Discarded","Over Production",5,"Pound",9
"7",181,181,"Grilled Cheese","Menu","2015-03-23 15:02:58","2015-03-23","","Discarded","Over Production",9,"Each",9
"8",182,182,"Buttermilk Pancakes","Menu","2015-03-23 15:21:25","2015-03-23","","Discarded","Over Production",5,"Pound",9
"9",183,183,"Grilled Cheese","Menu","2015-03-23 15:59:41","2015-03-23","","Discarded","Over Production",9,"Each",9
"10",184,184,"Grilled Chicken Cutlet","Menu","2015-03-23 16:01:23","2015-03-23","","Discarded","Over Production",10,"Each",9
"11",185,185,"Hamburger No Bun","Menu","2015-03-23 16:02:40","2015-03-23","","Discarded","Over Production",10,"Each",9
"12",186,186,"Grilled Hot Dogs w/ Toasted Roll","Menu","2015-03-23 16:03:56","2015-03-23","","Discarded","Over Production",5,"Each",9
"13",188,188,"Crispy Alaskan Pollock","Menu","2015-03-23 16:12:35","2015-03-23","","Discarded","Over Production",3,"Pound",9
"14",189,189,"Veggie Muffuletta","Menu","2015-03-23 16:13:29","2015-03-23","","Discarded","Over Production",8,"Pound",9
"15",190,190,"Macaroni &amp; Cheese","Menu","2015-03-23 16:15:25","2015-03-23","","Discarded","Over Production",9,"Pound",9
"16",191,191,"Veggie Muffuletta","Menu","2015-03-23 16:16:33","2015-03-23","","Discarded","Over Production",8,"Portion",9
"17",192,192,"Chef's Choice Soup du Jour","Menu","2015-03-23 16:18:49","2015-03-23","","Discarded","Over Production",3,"Pound",9
"18",193,193,"White Bean Cassoulet","Menu","2015-03-23 18:26:32","2015-03-23","","Discarded","Over Production",4,"Pound",9
"19",194,194,"White Rice","Menu","2015-03-23 18:27:14","2015-03-23","","Discarded","Quality",3,"Pound",9
"20",195,195,"Peas","Menu","2015-03-23 18:28:19","2015-03-23","","Discarded","Quality",2,"Pound",9
"21",196,196,"Baked Ziti","Menu","2015-03-24 12:08:44","2015-03-24","","Discarded","Over Production",13,"Pound",9
"22",197,197,"Baked Ziti","Menu","2015-03-24 12:10:04","2015-03-24","","Discarded","Over Production",24,"Pound",9
"23",198,198,"Grilled Caesar Chicken","Menu","2015-03-24 13:54:52","2015-03-24","","Discarded","Over Production",1,"Pound",9
"24",199,199,"Beef Tender Picadillo","Menu","2015-03-24 13:55:24","2015-03-24","","Discarded","Over Production",5,"Pound",9
"25",200,200,"Basmati Rice","Menu","2015-03-24 13:56:03","2015-03-24","","Discarded","Over Production",4,"Pound",9
"26",201,201,"Steamed Broccoli","Menu","2015-03-24 13:57:04","2015-03-24","","Discarded","Over Production",3,"Pound",9
"27",202,202,"Linguini w/ Roasted Tomatoes","Menu","2015-03-24 13:57:29","2015-03-24","","Discarded","Over Production",2,"Pound",9
"28",203,203,"Chef's Choice Soup du Jour","Menu","2015-03-24 13:57:50","2015-03-24","","Discarded","Over Production",1,"Pound",9
"29",204,204,"Marinara Sauce","Menu","2015-03-24 13:58:03","2015-03-24","","Discarded","Over Production",1,"Pound",9
"30",205,205,"Meat Sauce","Menu","2015-03-24 13:58:18","2015-03-24","","Discarded","Over Production",1,"Pound",9
"31",206,206,"Grilled Cheese","Menu","2015-03-24 13:58:38","2015-03-24","","Discarded","Over Production",7,"Each",9
"32",207,207,"Grilled Chicken Cutlet","Menu","2015-03-24 13:58:53","2015-03-24","","Discarded","Over Production",9,"Each",9
"33",208,208,"Curley Fries","Menu","2015-03-24 13:59:13","2015-03-24","","Discarded","Over Production",3,"Pound",9
"34",209,209,"Grilled Hot Dogs w/ Toasted Roll","Menu","2015-03-24 13:59:29","2015-03-24","","Discarded","Over Production",12,"Each",9
"35",210,210,"Hamburger No Bun","Menu","2015-03-24 13:59:47","2015-03-24","","Discarded","Over Production",12,"Each",9
"36",211,211,"Cheese Pizza","Menu","2015-03-24 14:00:42","2015-03-24","","Discarded","Over Production",14,"Portion",9
"37",212,212,"North Salad Bar Waste Module","Menu","2015-03-24 14:01:01","2015-03-24","","Discarded","Over Production",20,"Pound",9
"38",213,213,"North Salad Dressing Waste Module","Menu","2015-03-24 14:01:20","2015-03-24","","Discarded","Over Production",13,"Pound",9
"39",214,214,"Waffles","Menu","2015-03-24 14:46:04","2015-03-24","","Discarded","Over Production",4,"Pound",9
"40",215,215,"Country Style Hash Browns","Menu","2015-03-24 14:47:56","2015-03-24","","Discarded","Over Production",4,"Pound",9
"41",216,216,"Waffles","Menu","2015-03-24 14:49:30","2015-03-24","","Discarded","Over Production",2,"Pound",9
"42",217,217,"Strawberry Pancakes","Menu","2015-03-24 14:49:53","2015-03-24","","Discarded","Over Production",2,"Pound",9
"43",218,218,"Cheesy Scrambled Eggs","Menu","2015-03-24 14:50:07","2015-03-24","","Discarded","Over Production",2,"Pound",9
"44",219,219,"Strawberry Pancakes","Menu","2015-03-24 14:50:55","2015-03-24","","Discarded","Over Production",2,"Portion",9
"45",221,221,"Baked Beans","Menu","2015-03-24 18:13:31","2015-03-24","","Discarded","Over Production",8,"Pound",9
"46",222,222,"Roasted Summer Vegetables","Menu","2015-03-24 18:17:24","2015-03-24","","Discarded","Over Production",8,"Pound",9
"47",223,223,"Chicken Noodle Casserole","Menu","2015-03-24 18:22:30","2015-03-24","","Discarded","Over Production",9,"Pound",9
"48",224,224,"Meat Sauce","Menu","2015-03-24 20:11:38","2015-03-24","","Discarded","Over Production",6,"Pound",9
"49",225,225,"Marinara Sauce","Menu","2015-03-24 20:17:17","2015-03-24","","Discarded","Over Production",9,"Pound",9
"50",226,226,"Chef's Choice Pasta du Jour","Menu","2015-03-24 20:18:01","2015-03-24","","Discarded","Over Production",9,"Pound",9
"51",227,227,"Brown Sauce","Menu","2015-03-24 20:36:43","2015-03-24","","Discarded","Over Production",8,"Pound",9
"52",228,228,"Mashed Potatoes","Menu","2015-03-24 20:37:38","2015-03-24","","Discarded","Over Production",14,"Pound",9
"53",229,229,"Sauteed Kale","Menu","2015-03-24 23:13:58","2015-03-24","","Discarded","Over Production",3,"Pound",9
"54",230,230,"Meat Sauce","Menu","2015-03-24 23:17:03","2015-03-24","","Discarded","Over Production",6,"Pound",9
"55",231,231,"Ranch Roasted Potatoes","Menu","2015-03-24 23:18:05","2015-03-24","","Discarded","Over Production",8,"Pound",9
"56",232,232,"Chef's Choice Pasta du Jour","Menu","2015-03-24 23:18:55","2015-03-24","","Discarded","Over Production",4,"Pound",9
"57",233,233,"Fresh Roasted Carrots","Menu","2015-03-24 23:19:19","2015-03-24","","Discarded","Over Production",9,"Pound",9
"58",234,234,"Santaþ Chicken with Corn Salsa","Menu","2015-03-24 23:20:40","2015-03-24","","Discarded","Over Production",5,"Each",9
"59",235,235,"Creamy Spinach & Sun Dried Tomato Whole Wheat Penn","Menu","2015-03-24 23:21:17","2015-03-24","","Discarded","Over Production",7,"Pound",9
"60",236,236,"North Salad Dressing Waste Module","Menu","2015-03-24 23:37:31","2015-03-24","","Discarded","Over Production",22,"Pound",9
"61",237,237,"North Deli Bar Waste Module","Menu","2015-03-24 23:38:55","2015-03-24","","Discarded","Over Production",4,"Pound",9
"62",238,238,"Cheese Pizza","Menu","2015-03-24 23:39:20","2015-03-24","","Discarded","Over Production",12,"Pound",9
"63",239,239,"Cheese Pizza","Menu","2015-03-24 23:40:14","2015-03-24","","Discarded","Over Production",12,"Portion",9
