"","itemname","mealtype","quantity","quantitytype","datesort"
"2313","Deli Bar Waste Module","",9.6,"Pound",320
"2314","Salad Dressing Waste Module","",7,"Pound",320
"2315","Salad Bar Waste Module","",4.3,"Pound",320
"2316","Salad Dressing Waste Module","",4.2,"Pound",321
"2317","Salad Bar Waste Module","",6,"Pound",321
"2318","Deli Bar Waste Module","",6.4,"Pound",321
"2321","Very Berry Topping","",0.3,"Pound",322
"2322","Salad Bar Waste Module","",20.6,"Pound",322
"2323","Salad Dressing Waste Module","",6.6,"Pound",322
"2326","Green Fiesta Rice","",3.5,"Pound",323
"2327","White Rice","",4.6,"Pound",323
"2328","Grilled Cheese","",6,"Pound",323
"2331","Memphis Style BBQ Chicken Thig","",10,"Pound",323
"2332","Basmati Rice","",3.7,"Pound",323
"2333","Green Beans w/ Garlic","",3.2,"Pound",323
"2334","Chef's Choice Pasta du Jour","",3.5,"Pound",323
"2335","Meat Sauce","",1.4,"Pound",323
"2336","Marinara Sauce","",21,"Pound",323
"2337","Deli Bar Waste Module","",1.5,"Pound",323
"2338","Salad Bar Waste Module","",5,"Pound",323
"2339","Bacon","",3,"Pound",324
"2341","Oatmeal Hot Cereal","",4,"Pound",324
"2342","Mashed Potatoes","",2,"Pound",324
"2343","Peas","",1,"Pound",324
"2344","Stove Top Stuffing","",3.5,"Pound",324
"2346","Roast Turkey","",2,"Pound",324
"2347","White Rice","",3,"Pound",324
"2348","Marinara Sauce","",1,"Pound",324
"2349","Meat Sauce","",1,"Pound",324
"2350","Chef's Choice Pasta du Jour","",1.5,"Pound",324
"2356","Sausage Patties","",4,"Pound",325
"2357","Frijoles Refritos Con Queso","",8.9,"Pound",325
"2358","Deli Bar Waste Module","",8,"Pound",325
"2359","Basmati Rice Pilaf","",7.2,"Pound",325
"2362","Marinara Sauce","",2.3,"Pound",325
"2363","Parslied Carrots","",1,"Pound",325
"2365","Salad Bar Waste Module","",15.7,"Pound",325
"2366","Salad Dressing Waste Module","",2.5,"Pound",325
"2369","O'Brien Potatoes","",5,"Pound",326
"2373","Steamed Broccoli","",2,"Pound",326
"2376","Salad Bar Waste Module","",16.9,"Pound",326
"2378","Grilled Cheese","",5,"Pound",326
"2380","Deli Bar Waste Module","",5,"Pound",326
"2381","Meat Sauce","",4.3,"Pound",326
"2386","White Rice","",5.9,"Pound",327
"2388","Smoky Dogs","",3,"Pound",327
"2389","Marinara Sauce","",9,"Pound",327
"2390","Buttered Noodles","",3.2,"Pound",327
"2391","Buttered Noodles","",3.2,"Pound",327
"2392","Tuscan White Beans","",2,"Pound",327
"2393","Basmati Rice","",4.1,"Pound",327
"2399","Cross Trax French Fries","",3,"Pound",327
"2400","Salad Bar Waste Module","",21,"Pound",327
"2419","Meat Sauce","",1.8,"Pound",329
"2420","Roasted Root Vegetables","",3.2,"Pound",329
"2421","Baked Pork Chops","",5,"Pound",329
"2422","Grilled Cheese","",1,"Pound",329
"2426","Creole Rice & Beans","",6.2,"Pound",329
"2427","Mashed Potatoes","",0.8,"Pound",329
"2429","Salad Dressing Waste Module","",6.4,"Pound",329
"2430","Salad Dressing Waste Module","",8.3,"Pound",329
"2431","Deli Bar Waste Module","",0.3,"Pound",329
"2432","Bacon","",1,"Pound",330
"2433","Country Style Hash Browns","",2.8,"Pound",330
"2436","Beer Battered Onion Rings","",1.5,"Pound",330
"2437","Deli Bar Waste Module","",2,"Pound",330
"2442","Meat Sauce","",3.4,"Pound",330
"2443","Pot Roast Potatoes","",3.5,"Pound",330
"2444","Steamed Broccoli","",1.6,"Pound",330
"2445","White Rice","",1.9,"Pound",330
"2446","Salad Bar Waste Module","",12.3,"Pound",330
"2447","Salad Dressing Waste Module","",0.8,"Pound",330
"2453","Chef's Choice Pasta du Jour","",4.1,"Pound",331
"2454","Meat Sauce","",7.4,"Pound",331
"2455","White Rice","",4.9,"Pound",331
"2456","Chicken and Sausage Gumbo","",5,"Pound",331
"2457","Bourbon & Black Strap Sweet Po","",3,"Pound",331
"2458","Meat Sauce","",8,"Pound",331
"2459","Italian Grilled Vegetables","",7,"Pound",331
"2460","Chef's Choice Pasta du Jour","",2,"Pound",331
"2461","Bourbon & Black Strap Sweet Po","",4,"Pound",331
"2462","Chicken and Sausage Gumbo","",6,"Pound",331
"2463","White Rice","",4,"Pound",331
"2467","Chef's Choice Pasta du Jour","",7.2,"Pound",332
"2468","Sloppy Joes on a Bun","",3.8,"Pound",332
"2469","Meat Sauce","",5.6,"Pound",332
"2470","Marinara Sauce","",5.5,"Pound",332
"2471","Green Bean Saute","",4,"Pound",332
"2472","Meat Sauce","",3.4,"Pound",332
"2473","Marinara Sauce","",4,"Pound",332
"2474","Cuban Pork Loin","",6,"Pound",332
"2475","Sauteed Vegetable Medley","",7.8,"Pound",332
"2476","Corn","",6.4,"Pound",332
"2478","Chef's Choice Pasta du Jour","",8,"Pound",332
"2479","Cuban Yellow Rice","",10,"Pound",332
"2480","Country Style Hash Browns","",3,"Pound",333
"2483","Chocolate Chip Pancakes","",3.5,"Pound",334
"2484","Waffles","",2.5,"Pound",334
"2485","Salad Dressing Waste Module","",4,"Pound",334
"2486","Salad Bar Waste Module","",17,"Pound",334
"2487","Grilled Chicken Cutlet","",6,"Pound",334
"2489","Spanish Arroz Amarillo","",6,"Pound",334
"2493","Mini Potato Pancakes","",2,"Pound",335
"2497","Straight Cut French Fries","",1.5,"Pound",335
"2500","Gingered Green Beans and Carro","",8,"Pound",335
"2503","Roasted Yukon Golds","",7,"Pound",335
"2504","Deli Bar Waste Module","",4,"Pound",335
"2505","Salad Dressing Waste Module","",7,"Pound",335
"2506","Salad Bar Waste Module","",3.5,"Pound",335
"2507","Meat Sauce","",5,"Pound",336
"2508","Marinara Sauce","",3,"Pound",336
"2509","Parsley Noodles","",1,"Pound",336
"2510","Broccoli Macaroni & Cheese","",1.5,"Pound",336
"2513","Bacon","",4.8,"Pound",337
"2515","French Toast Stix","",8,"Pound",337
"2518","White Rice","",9,"Pound",337
"2519","Chef's Choice Pasta du Jour","",6,"Pound",337
"2520","Chef's Choice Pasta du Jour","",7,"Pound",337
"2521","Marinara Sauce","",5.8,"Pound",337
"2523","Roasted Yukon Golds","",9,"Pound",337
"2524","Basmati Rice","",4.2,"Pound",337
"2526","Ranch Roasted Potatoes","",4.6,"Pound",338
"2527","Pernil","",6,"Pound",338
"2528","Chef's Choice Pasta du Jour","",1.6,"Pound",338
"2529","Grilled Hot Dogs","",8,"Pound",338
"2530","Grilled Chicken Cutlet","",12,"Pound",338
"2531","Grilled Cheese","",1,"Pound",338
"2533","Deli Bar Waste Module","",4.3,"Pound",338
"2534","Salad Bar Waste Module","",16.8,"Pound",338
"2535","Salad Dressing Waste Module","",4.1,"Pound",338
"2552","Fried Hash Brown Patties","",4,"Pound",340
"2553","Turkey Sausage Links","",3,"Pound",340
"2558","Deli Bar Waste Module","",7.3,"Pound",340
"2559","Salad Bar Waste Module","",12.4,"Pound",340
"2560","Red Petite Potatoes w/Dill","",3,"Pound",340
"2562","Marinara Sauce","",0.8,"Pound",340
"2563","Blueberry Pancakes","",3.5,"Pound",341
"2564","Crispy Dijon Scrod","",16,"Pound",341
"2566","Deli Bar Waste Module","",12.7,"Pound",341
"2567","Meat Sauce","",4.2,"Pound",341
"2569","Baked Beans","",2.2,"Pound",341
"2570","Grilled Chicken Cutlet","",4,"Pound",341
"2571","Grilled Cheese","",8,"Pound",341
"2572","Hamburger No Bun","",8,"Pound",341
"2573","Straight Cut French Fries","",0.5,"Pound",341
"2574","Salad Bar Waste Module","",18.8,"Pound",341
"2575","Salad Dressing Waste Module","",7.4,"Pound",341
"2576","Salad Dressing Waste Module","",7.4,"Pound",341
"2578","Curley Fries","",0.5,"Pound",342
"2594","Grilled Chicken Cutlet","",6,"Pound",343
"2598","Home Fries","",1,"Pound",344
"2599","Frittata (basic)","",2,"Pound",344
"2600","Deli Bar Waste Module","",4.2,"Pound",344
"2601","Hamburger No Bun","",5,"Pound",344
"2603","Marinara Sauce","",3.6,"Pound",344
"2604","Meat Sauce","",4.6,"Pound",344
"2605","Chef's Choice Pasta du Jour","",9.6,"Pound",344
"2606","Linguini  with White Beans, Ga","",3.2,"Pound",344
"2607","Corn","",10.2,"Pound",344
"2608","Scrod w/ Fresh Dill","",4.6,"Pound",344
"2609","Yankee Pot Roast","",8,"Pound",344
"2610","Basmati Rice","",7,"Pound",344
"2611","Mashed Potatoes","",20,"Pound",344
"2613","Green Beans and Tomatoes","",5.8,"Pound",344
"2614","Vegan Pepper Steak Stir Fry","",5.4,"Pound",344
"2617","Frittata (basic)","",25,"Pound",346
"2618","Sausage Patties","",4,"Pound",346
"2619","Basmati Rice","",4,"Pound",346
"2621","Spanish Rice","",8.9,"Pound",346
"2622","Chef's Choice Pasta du Jour","",2,"Pound",346
"2623","Green Beans","",8.4,"Pound",347
"2624","Shrimp Jambalaya","",8,"Pound",347
"2625","Chicken Fricassee w/ Dumplings","",5,"Pound",347
"2626","Chef's Choice Pasta du Jour","",5,"Pound",347
"2627","Marinara Sauce","",5,"Pound",347
"2628","Meat Sauce","",6,"Pound",347
"2629","Roasted Vegetable Pasta","",4.4,"Pound",347
"2630","White Rice","",10,"Pound",347
"2634","Omelet Bar","",12,"Pound",348
"2635","Breakfast Potatoes","",7.4,"Pound",348
"2636","Breakfast Potatoes","",4.2,"Pound",348
"2639","Baked Chinese Chicken Wings","",2,"Pound",348
"2641","Vegan Dragon Rice","",6,"Pound",348
"2642","Deli Bar Waste Module","",6,"Pound",348
"2644","Salad Bar Waste Module","",12,"Pound",348
"2649","Vegan Chicken Diced","",2,"Pound",349
"2650","Deli Bar Waste Module","",3.8,"Pound",349
"2651","Salad Dressing Waste Module","",3,"Pound",349
"2652","Salad Bar Waste Module","",14.6,"Pound",349
"2653","Salad Bar Waste Module","",14.6,"Pound",349
"2654","Marinara Sauce","",3,"Pound",350
"2655","Meat Sauce","",2.5,"Pound",350
"2656","Eggplant Parmesan","",4.2,"Pound",350
"2657","Corn","",6.4,"Pound",350
"2658","Gingered Sweet Potatoes","",11,"Pound",350
"2659","Garden Blend Rice","",4.2,"Pound",350
"2661","Texas BBQ Beef Tender","",2.8,"Pound",350
"2663","Grilled Cheese","",9,"Pound",351
"2664","Grilled Hot Dogs","",6,"Pound",351
"2665","Hamburger No Bun","",4,"Pound",351
"2666","Straight Cut French Fries","",3,"Pound",351
"2668","Roasted Yukon Golds","",1.6,"Pound",351
"2669","Chef's Choice Pasta du Jour","",3,"Pound",351
"2670","Marinara Sauce","",0.5,"Pound",351
"2671","Meat Sauce","",2.7,"Pound",351
"2672","Salad Bar Waste Module","",15.6,"Pound",351
"2673","Salad Dressing Waste Module","",12,"Pound",351
"2676","Waffles","",19,"Pound",352
"2677","Breakfast Potatoes","",2,"Pound",352
"2678","Chef's Choice Pasta du Jour","",2,"Pound",352
"2679","Marinara Sauce","",0.5,"Pound",352
"2680","Meat Sauce","",0.5,"Pound",352
"2681","Stove Top Stuffing","",10,"Pound",352
"2682","Frijoles Refritos Con Queso","",3,"Pound",353
"2683","Spanish Rice","",10,"Pound",353
"2685","Meat Sauce","",8,"Pound",353
"2686","Chef's Choice Pasta du Jour","",4,"Pound",353
"2688","Sauteed Kale","",4.1,"Pound",353
"2691","O'Brien Potatoes","",1.2,"Pound",354
"2692","Meat Sauce","",3.6,"Pound",354
"2693","Marinara Sauce","",7.6,"Pound",354
"2694","Chef's Choice Pasta du Jour","",4,"Pound",354
"2695","Salad Bar Waste Module","",7.1,"Pound",354
"2698","Deli Bar Waste Module","",7,"Pound",354
"2699","BBQ Baked Beans","",5.5,"Pound",364
"2700","Chef's Choice Pasta du Jour","",5.6,"Pound",364
"2701","Marinara Sauce","",1.2,"Pound",364
"2702","Meat Sauce","",1.5,"Pound",364
"2704","Honey Glazed Roasted Carrots","",6.2,"Pound",364
"2705","Green Beans w/ Garlic","",6.2,"Pound",364
"2706","Swedish Meatballs","",4.8,"Pound",364
"2707","Salad Dressing Waste Module","",12,"Pound",364
"2708","Frittata (basic)","",2,"Pound",365
"2709","Salad Bar Waste Module","",15.4,"Pound",365
"2710","Salad Dressing Waste Module","",4.4,"Pound",365
"2711","Deli Bar Waste Module","",6.6,"Pound",365
"2712","Beef Tender Picadillo","",5,"Pound",365
"2713","Linguini w/ Roasted Tomatoes","",5.4,"Pound",365
"2714","Steamed Broccoli","",2.6,"Pound",365
"2715","Marinara Sauce","",6.6,"Pound",365
"2717","Boneless Chicken Romano","",5.2,"Pound",365
"2718","Chef's Choice Pasta du Jour","",3.8,"Pound",365
"2719","Frittata (basic)","",5,"Pound",366
"2720","Frittata (basic)","",10,"Pound",366
"2721","Pork Sausage Links","",7,"Pound",366
"2723","Oatmeal Hot Cereal","",1,"Pound",366
"2724","White Bean & Butternut Stew","",5,"Pound",366
"2725","Baked Beans","",4.2,"Pound",366
"2726","Creamy Spinach & Sun Dried Tom","",3.8,"Pound",366
"2727","Fresh Roasted Carrots","",3,"Pound",366
"2728","Meat Sauce","",6.1,"Pound",366
"2729","Chef's Choice Pasta du Jour","",4,"Pound",366
"2730","Ranch Roasted Potatoes","",5,"Pound",366
"2731","Ranch Roasted Potatoes","",5,"Pound",366
"2732","Grilled Hot Dogs","",10,"Pound",366
"2736","Crinkle Cut Fries","",2,"Pound",367
"2737","Crinkle Cut Fries","",2,"Pound",367
"2739","Deli Bar Waste Module","",5.6,"Pound",367
"2740","Salad Dressing Waste Module","",3,"Pound",367
"2741","Salad Bar Waste Module","",5.5,"Pound",367
"2742","Meat Sauce","",2,"Pound",367
"2743","Spanish Rice","",4,"Pound",367
"2746","Sauteed Pork Cutlet","",7.4,"Pound",368
"2747","BBQ Chicken Drumsticks","",19.6,"Pound",368
"2748","Vegan Mongolian Stir Fry","",5.2,"Pound",368
"2749","Red Petite Potatoes w/Dill","",16.4,"Pound",368
"2750","Roasted Root Vegetables","",5,"Pound",368
"2751","Tokyo Noodles","",11.4,"Pound",368
"2752","Curried Sweet Potato and Apple","",14.4,"Pound",368
"2753","Marinara Sauce","",4.8,"Pound",368
"2754","Meat Sauce","",5.6,"Pound",368
"2755","Chef's Choice Pasta du Jour","",8.2,"Pound",368
"2756","Cheese Stuffed Italian Meatloa","",2.3,"Pound",371
"2757","Honey Barbeque Chicken Thighs","",3.3,"Pound",371
"2758","Sauteed Vegetable Medley","",2.1,"Pound",371
"2759","White Rice","",4,"Pound",371
"2760","Smashed Yukon Gold Potatoes","",5.2,"Pound",371
"2761","Baked Ziti","",3.6,"Pound",371
"2762","Meatballs with Marinara","",2.3,"Pound",371
"2763","Chef's Choice Pasta du Jour","",2.7,"Pound",371
"2764","Marinara Sauce","",1.2,"Pound",371
"2765","Meat Sauce","",1.7,"Pound",371
"2766","Chef's Choice Pasta du Jour","",2,"Pound",372
"2767","Linguini  with White Beans, Ga","",3,"Pound",372
"2768","Basmati Rice","",4,"Pound",372
"2769","Mashed Potatoes","",5,"Pound",372
"2770","Scrod w/ Fresh Dill","",2,"Pound",372
"2771","Yankee Pot Roast","",2,"Pound",372
"2772","Parslied Carrots","",4,"Pound",372
"2773","Meat Sauce","",4,"Pound",372
"2774","Corn","",6,"Pound",372
"2775","Marinara Sauce","",7,"Pound",372
"2776","Salad Bar Waste Module","",12.2,"Pound",372
"2777","Salad Dressing Waste Module","",4.2,"Pound",372
"2778","Banana Pancakes","",4.6,"Pound",373
"2779","French Toast Stix","",3.8,"Pound",373
"2780","Greek Rice Pilaf","",8,"Pound",373
"2781","Yankee Pot Roast","",3,"Pound",372
"2782","Marinara Sauce","",1,"Pound",373
"2783","Meat Sauce","",1,"Pound",373
"2784","Chef's Choice Pasta du Jour","",1.1,"Pound",373
"2788","Straight Cut French Fries","",1.5,"Pound",373
"2789","Meat Sauce","",2,"Pound",373
"2790","Meat Sauce","",2,"Pound",373
"2792","Chef's Choice Pasta du Jour","",3,"Pound",373
"2793","White Rice","",1,"Pound",373
"2794","Roasted Butternut Squash","",3.1,"Pound",373
"2795","Sauteed Mushrooms","",1.3,"Pound",373
"2796","Roasted Yukon Golds","",3.3,"Pound",373
"2797","Sauteed Beef Tips","",6.7,"Pound",373
"2804","Meat Sauce","",2,"Pound",375
"2805","Shrimp Jambalaya","",3.6,"Pound",375
"2807","Salad Bar Waste Module","",17,"Pound",375
"2808","Chef's Choice Pasta du Jour","",2.5,"Pound",375
"2810","Grilled Chicken Cutlet","",6,"Pound",375
"2813","Roasted Vegetable Pasta","",6.5,"Pound",375
"2814","Roasted Vegetable Pasta","",6.5,"Pound",375
"2816","Breakfast Potatoes","",3.2,"Pound",376
"2817","Frittata (basic)","",1.9,"Pound",376
"2818","Eggplant Caponata","",2.1,"Pound",376
"2819","Marinara Sauce","",2.8,"Pound",376
"2820","Rice Florentine","",1.8,"Pound",376
"2821","Meat Sauce","",2.4,"Pound",376
"2822","Chef's Choice Pasta du Jour","",0.9,"Pound",376
"2824","Shrimp Jambalaya","",3.2,"Pound",375
"2826","Marinara Sauce","",2.3,"Pound",376
"2827","Roasted Garlic Potatoes","",2,"Pound",376
"2828","Steamed Broccoli","",0.9,"Pound",376
"2830","Salad Bar Waste Module","",16.8,"Pound",376
"2831","Salad Dressing Waste Module","",9.4,"Pound",376
"2832","Very Berry Topping","",4.4,"Pound",378
"2836","Corn","",2,"Pound",378
"2837","Eggplant Parmesan","",0.3,"Pound",378
"2838","Chef's Choice Pasta du Jour","",2.2,"Pound",378
"2839","Zucchini Medley","",2.8,"Pound",378
"2840","Garden Blend Rice","",3.6,"Pound",378
"2843","Chef's Choice Pasta du Jour","",0.5,"Pound",378
"2844","Meat Sauce","",1.4,"Pound",378
"2845","Marinara Sauce","",1.7,"Pound",379
"2847","Straight Cut French Fries","",1.2,"Pound",378
"2848","Onion Rye Loaf","",0.8,"Pound",377
"2852","Salad Dressing Waste Module","",5,"Pound",379
"2853","Salad Bar Waste Module","",4,"Pound",379
"2854","Basmati Rice","",3,"Pound",379
"2855","Roasted Yukon Golds","",3,"Pound",379
"2856","Chef's Choice Pasta du Jour","",0.9,"Pound",379
"2857","Meat Sauce","",1,"Pound",379
"2858","Marinara Sauce","",1.1,"Pound",379
"2862","Mashed Potatoes","",4,"Pound",380
"2863","White Rice","",4,"Pound",380
"2866","Marinara Sauce","",1.5,"Pound",380
"2867","Meat Sauce","",1.7,"Pound",380
"2868","Chef's Choice Pasta du Jour","",3,"Pound",380
"2869","Roasted Yukon Golds","",2.1,"Pound",380
"2870","BBQ Kansas City Pork Spare Rib","",4,"Pound",381
"2872","Parslied Carrots","",3,"Pound",381
"2874","Frittata (basic)","",2.4,"Pound",383
"2875","Banana Pancakes","",2.4,"Pound",383
"2876","Oatmeal Hot Cereal","",7.3,"Pound",383
"2881","Straight Cut French Fries","",0.5,"Pound",384
"2883","Green Beans","",1.2,"Pound",384
"2884","Roasted Cauliflower","",1.6,"Pound",384
"2885","Rice Pilaf","",2.2,"Pound",384
"2887","Tofu Parmesan","",18,"Pound",384
"2888","Chef's Choice Pasta du Jour","",0.5,"Pound",384
"2889","Marinara Sauce","",2.5,"Pound",384
"2890","Meat Sauce","",2.6,"Pound",384
"2892","Mashed Potatoes","",8.4,"Pound",385
"2893","Peas","",0.3,"Pound",385
"2894","Roasted Root Vegetables","",4,"Pound",385
"2898","Chef's Choice Pasta du Jour","",1.6,"Pound",385
"2899","Meat Sauce","",1.7,"Pound",385
"2900","Salad Bar Waste Module","",27.4,"Pound",385
"2901","Grilled Chicken Cutlet","",2,"Pound",387
"2912","Salad Bar Waste Module","",10,"Pound",388
"2913","Salad Dressing Waste Module","",4,"Pound",388
"2917","Country Style Hash Browns","",2.8,"Pound",389
"2919","Roasted Cardamom Pineapple","",2.4,"Pound",389
"2920","Steamed Broccoli","",1.6,"Pound",389
"2921","Chef's Choice Pasta du Jour","",2.8,"Pound",389
"2922","Meat Sauce","",2.5,"Pound",389
"2923","Marinara Sauce","",1.2,"Pound",389
"2924","Basmati Rice","",4,"Pound",389
"2925","White Rice","",4,"Pound",389
"2926","Salad Dressing Waste Module","",2,"Pound",389
"2927","Salad Bar Waste Module","",3.5,"Pound",389
"2931","Marinara Sauce","",1,"Pound",390
"2932","Meat Sauce","",1,"Pound",390
"2933","Vegan Sweet & Sour Tempeh","",1.5,"Pound",390
"2935","Spanish Arroz Amarillo","",3,"Pound",390
"2937","Deli Bar Waste Module","",5.8,"Pound",390
"2938","Salad Bar Waste Module","",12.6,"Pound",390
"2944","Honey Glazed Roasted Carrots","",5.1,"Pound",392
"2945","Meat Sauce","",5.5,"Pound",392
"2946","Marinara Sauce","",5.7,"Pound",392
"2947","Marinara Sauce","",5.7,"Pound",392
"2948","Swedish Meatballs","",6.5,"Pound",392
"2949","Parsley Noodles","",1.6,"Pound",392
"2950","Honey Glazed Roasted Carrots","",2.4,"Pound",392
"2951","Green Beans w/ Garlic","",2.1,"Pound",392
"2954","BBQ Baked Beans","",2.6,"Pound",392
"2955","Salad Bar Waste Module","",2.7,"Pound",392
"2956","Salad Dressing Waste Module","",7,"Pound",392
"2957","White Rice","",4.3,"Pound",392
"2958","Deli Bar Waste Module","",4,"Pound",392
"2959","Beef Tender Picadillo","",2.7,"Pound",393
"2960","Roasted Yukon Golds","",3.6,"Pound",393
"2961","Basmati Rice","",3.5,"Pound",393
"2962","Linguini w/ Roasted Tomatoes","",2,"Pound",393
"2963","Chef's Choice Pasta du Jour","",1.2,"Pound",393
"2964","Marinara Sauce","",1.7,"Pound",393
"2965","Meat Sauce","",3.4,"Pound",393
"2966","Salad Bar Waste Module","",20.6,"Pound",393
"2967","Salad Dressing Waste Module","",3,"Pound",393
"2968","Deli Bar Waste Module","",11.6,"Pound",393
"2974","Marinara Sauce","",2,"Pound",394
"2975","Mashed Potatoes","",4.5,"Pound",394
"2976","Chef's Choice Pasta du Jour","",3.6,"Pound",394
"2979","Shoestring Fries","",0.5,"Pound",394
"2982","White Rice","",5.8,"Pound",394
"2983","Marinara Sauce","",2,"Pound",394
"2984","Salad Dressing Waste Module","",3.2,"Pound",394
"2985","Salad Bar Waste Module","",7,"Pound",394
"2986","Flour Tortillas","",4.3,"Pound",395
"2987","Spanish Rice","",6,"Pound",395
"2989","Vegan Steak Tacos","",1,"Pound",395
"2990","Chef's Choice Pasta du Jour","",3,"Pound",395
"2991","Meat Sauce","",2,"Pound",395
"2992","Marinara Sauce","",1,"Pound",395
"2993","Nacho Cheese Sauce","",3,"Pound",395
"2994","Apple Pancakes","",10,"Pound",396
"2995","Fried Hash Brown Patties","",10,"Pound",396
"2996","Fried Hash Brown Patties","",10,"Pound",396
"2997","Fried Hash Brown Patties","",10,"Pound",396
"2998","Fried Hash Brown Patties","",10,"Pound",396
"2999","Fried Hash Brown Patties","",10,"Pound",396
"3000","Fried Hash Brown Patties","",10,"Pound",396
"3001","Frittata (basic)","",4,"Pound",396
"3002","Frittata (basic)","",4,"Pound",396
"3003","Marinara Sauce","",1.2,"Pound",396
"3004","Meat Sauce","",1.2,"Pound",396
"3005","Mashed Potatoes","",2,"Pound",396
"3006","Peas","",0.9,"Pound",396
"3007","Turkey Gravy","",3,"Pound",396
"3009","Curried Sweet Potato and Apple","",2,"Pound",396
"3010","Chef's Choice Pasta du Jour","",0.9,"Pound",396
"3011","Red Petite Potatoes w/Dill","",2,"Pound",396
"3012","Tokyo Noodles","",1.1,"Pound",396
"3014","Roasted Root Vegetables","",1.5,"Pound",396
"3018","Baked Beans","",4.5,"Pound",397
"3019","Buffalo Strips","",6.3,"Pound",397
"3020","Cheddar Biscuits","",15,"Pound",397
"3022","Steamed Broccoli","",6,"Pound",397
"3024","Meat Sauce","",3,"Pound",397
"3025","Marinara Sauce","",3,"Pound",397
"3026","Chef's Choice Pasta du Jour","",1.1,"Pound",397
"3028","Crinkle Cut Fries","",1,"Pound",400
"3029","Grilled Hot Dogs","",2,"Pound",400
"3031","Basmati Rice","",10,"Pound",400
"3032","Mashed Potatoes","",18,"Pound",400
"3033","Yankee Pot Roast","",11.3,"Pound",400
"3034","Parslied Carrots","",7.4,"Pound",400
"3035","Corn","",10.5,"Pound",400
"3036","Linguini  with White Beans, Ga","",8.9,"Pound",400
"3037","Chef's Choice Pasta du Jour","",7.5,"Pound",400
"3038","Marinara Sauce","",4.1,"Pound",400
"3039","Meat Sauce","",10.5,"Pound",400
"3041","French Toast Stix","",2.5,"Pound",401
"3042","Greek Rice Pilaf","",2,"Pound",401
"3043","Greek Rice Pilaf","",2,"Pound",401
"3044","Marinara Sauce","",1,"Pound",401
"3045","Meat Sauce","",1.1,"Pound",401
"3046","Yankee Pot Roast","",1,"Pound",400
"3048","Straight Cut French Fries","",1.5,"Pound",401
"3052","White Rice","",3.2,"Pound",401
"3053","Marinara Sauce","",6,"Pound",401
"3054","Meat Sauce","",5.2,"Pound",401
"3055","Roasted Butternut Squash","",3,"Pound",401
"3056","Roasted Yukon Golds","",5,"Pound",401
"3058","Frittata (basic)","",1,"Pound",402
"3060","Oatmeal Hot Cereal","",18.2,"Pound",402
"3061","Chef's Choice Pasta du Jour","",7.4,"Pound",402
"3063","Vegetable Lo Mein","",1,"Pound",402
"3064","Meat Sauce","",4.1,"Pound",402
"3065","Marinara Sauce","",3.3,"Pound",402
"3066","Chef's Choice Pasta du Jour","",4.2,"Pound",402
"3067","Veggie Medley","",5.1,"Pound",402
"3068","Corn","",6.9,"Pound",402
"3069","Pulled Pork","",8.7,"Pound",402
"3070","Rice & Orzo Pilaf","",13.4,"Pound",402
"3071","BBQ Baked Beans","",12,"Pound",402
"3072","Oatmeal Hot Cereal","",2.2,"Pound",403
"3075","Mini Potato Pancakes","",1.2,"Pound",403
"3076","Rotini w/ Vegetables & Roasted","",9.2,"Pound",403
"3077","Peach Cobbler","",3,"Pound",403
"3078","Meat Sauce","",1.4,"Pound",403
"3079","Sauteed Peppers","",3,"Pound",403
"3080","Corn","",5.8,"Pound",403
"3081","Sauteed Onions","",0.2,"Pound",403
"3082","White Rice","",5.2,"Pound",403
"3083","Cheese Sauce","",5,"Pound",403
"3084","Shaved Steak for Sandwich","",6.8,"Pound",403
"3085","White Rice","",8.2,"Pound",403
"3086","White Rice","",16,"Pound",403
"3087","Shrimp Jambalaya","",7.8,"Pound",403
"3088","Mashed Red Potatoes with Garli","",8.9,"Pound",403
"3089","Meat Sauce","",3,"Pound",403
"3090","Marinara Sauce","",2.5,"Pound",403
"3091","Chicken Fricassee w/ Dumplings","",3,"Pound",403
"3093","Salad Bar Waste Module","",23.8,"Pound",404
"3094","Salad Dressing Waste Module","",6.2,"Pound",404
"3097","Crinkle Cut Fries","",2,"Pound",405
"3104","Straight Cut French Fries","",2.6,"Pound",406
"3105","Corn","",6.2,"Pound",406
"3106","Gingered Sweet Potatoes","",13.7,"Pound",406
"3112","Green Beans w/ Garlic","",2.3,"Pound",407
"3113","Meat Sauce","",1.3,"Pound",407
"3115","Pork Stew with Fennel & Butter","",11.6,"Pound",407
"3116","Deli Bar Waste Module","",6.4,"Pound",407
"3117","Basmati Rice","",12,"Pound",407
"3119","Salad Bar Waste Module","",17.3,"Pound",407
"3120","Grilled Cheese","",2,"Pound",407
"3121","Hamburger No Bun","",3,"Pound",407
"3122","Grilled Hot Dogs","",3,"Pound",407
"3123","Oatmeal Hot Cereal","",16,"Pound",408
"3124","Frittata (basic)","",3.6,"Pound",408
"3125","Breakfast Potatoes","",5.6,"Pound",408
"3128","Crinkle Cut Fries","",2,"Pound",408
"3132","Meat Sauce","",1.5,"Pound",408
"3133","White Rice","",2,"Pound",408
"3134","Stove Top Stuffing","",1.3,"Pound",408
"3135","Salad Dressing Waste Module","",5,"Pound",408
"3136","Deli Bar Waste Module","",6.4,"Pound",408
"3137","Buttermilk Pancakes","",45,"Pound",476
"3138","French Toast","",15,"Pound",476
