,Date_Produced,Log_ID,Item_Name,Item_Type,PLU,Meal,Action_Taken,Action_Reason,Quantity,Pan_ID,Pan_Weight,Unit,Station,Employee_Name,image,Location_ID,Location,Served,Saved,Sold,Shrink,logtime,locationId,imageId,imageKey
0,2019-09-30,43120,Spring Mix,Menu Item,46000063050,Breakfast,Served,Start,6.45954,107,1.94,Lbs,SB,,,51,Dedham,4.519539999999999,0.0,4.519539999999999,0.0,2019-10-01 06:18:52,51.0, d15c24e0-e434-11e9-8246-012e5e367d18, 51/d15c24e0e43411e98246012e5e367d18
1,2019-09-30,43122,Romaine Lettuce,Menu Item,46000055863,Breakfast,Served,Start,6.45954,107,1.94,Lbs,SB,,,51,Dedham,4.519539999999999,0.0,4.519539999999999,0.0,2019-10-01 06:19:06,51.0, db40f350-e434-11e9-90c3-45c3f76c0e47, 51/db40f350e43411e990c345c3f76c0e47
2,2019-09-30,43123,Romaine Lettuce,Menu Item,46000055863,Breakfast,Served,Start,6.34931,107,1.94,Lbs,SB,,,51,Dedham,4.40931,0.0,4.40931,0.0,2019-10-01 06:19:20,51.0, e47ed360-e434-11e9-8246-012e5e367d18, 51/e47ed360e43411e98246012e5e367d18
3,2019-09-30,43124,Baby Spinach,Menu Item,46000055923,Breakfast,Served,Start,6.76819,107,1.94,Lbs,SB,,,51,Dedham,4.828189999999999,0.0,4.828189999999999,0.0,2019-10-01 06:19:35,51.0, eca83630-e434-11e9-8246-012e5e367d18, 51/eca83630e43411e98246012e5e367d18
4,2019-09-30,43194,Plantains,Menu Item,46000001661,Breakfast,Served,Start,6.74615,107,1.94,Lbs,HB,,,51,Dedham,4.806150000000001,0.0,4.806150000000001,0.0,2019-10-01 07:06:17,51.0, 706e9710-e43b-11e9-8246-012e5e367d18, 51/706e9710e43b11e98246012e5e367d18
5,2019-09-30,43196,Tofu Breakfast Scramble,Menu Item,46000008996,Breakfast,Served,Start,4.87222,107,1.94,Lbs,HB,,,51,Dedham,2.9322200000000005,0.0,2.9322200000000005,0.0,2019-10-01 07:06:33,51.0, 7aecbf50-e43b-11e9-8246-012e5e367d18, 51/7aecbf50e43b11e98246012e5e367d18
6,2019-09-30,43198,Bacon ,Menu Item,46000060011,Breakfast,Served,Start,4.93835,107,1.94,Lbs,HB,,,51,Dedham,2.99835,0.0,2.99835,0.0,2019-10-01 07:06:47,51.0, 84e84a10-e43b-11e9-8246-012e5e367d18, 51/84e84a10e43b11e98246012e5e367d18
7,2019-09-30,43199,Turkey Bacon ,Menu Item,46000065008,Breakfast,Served,Start,2.57941,107,1.94,Lbs,HB,,,51,Dedham,0.6394100000000003,0.0,0.6394100000000003,0.0,2019-10-01 07:07:02,51.0, 8d916430-e43b-11e9-90c3-45c3f76c0e47, 51/8d916430e43b11e990c345c3f76c0e47
8,2019-09-30,43201,Roasted Sweet Potatoes,Menu Item,46000064784,Breakfast,Served,Start,4.91631,107,1.94,Lbs,HB,,,51,Dedham,2.9763100000000002,0.0,2.9763100000000002,0.0,2019-10-01 07:07:27,51.0, 9a9c78e0-e43b-11e9-90c3-45c3f76c0e47, 51/9a9c78e0e43b11e990c345c3f76c0e47
9,2019-09-30,43202,Breakfast Potatoes,Menu Item,46000058382,Breakfast,Served,Start,15.9174,107,1.94,Lbs,HB,,,51,Dedham,13.977400000000001,0.0,13.977400000000001,0.0,2019-10-01 07:07:43,51.0, a6a7d0d0-e43b-11e9-90c3-45c3f76c0e47, 51/a6a7d0d0e43b11e990c345c3f76c0e47
10,2019-09-30,43204,Blueberry Lemon Pancakes,Menu Item,46000063819,Breakfast,Served,Start,11.7727,107,1.94,Lbs,HB,,,51,Dedham,9.8327,0.0,9.8327,0.0,2019-10-01 07:08:13,51.0, b7d05d00-e43b-11e9-90c3-45c3f76c0e47, 51/b7d05d00e43b11e990c345c3f76c0e47
11,2019-09-30,43211,Scrambled Eggs,Menu Item,46000064940,Breakfast,Served,Start,10.6704,107,1.94,Lbs,HB,,,51,Dedham,8.730400000000001,0.0,8.730400000000001,0.0,2019-10-01 07:11:48,51.0, 36916620-e43c-11e9-90c3-45c3f76c0e47, 51/36916620e43c11e990c345c3f76c0e47
12,2019-09-30,43212,Ham & Cheese Omelet,Menu Item,46000059700,Breakfast,Served,Start,12.875,107,1.94,Lbs,HB,,,51,Dedham,10.935,0.0,10.935,0.0,2019-10-01 07:12:02,51.0, 40547bc0-e43c-11e9-8246-012e5e367d18, 51/40547bc0e43c11e98246012e5e367d18
13,2019-09-30,43214,Egg White & Spinach Scramble,Menu Item,46000059699,Breakfast,Served,Start,12.1034,107,1.94,Lbs,HB,,,51,Dedham,10.163400000000001,0.0,10.163400000000001,0.0,2019-10-01 07:12:20,51.0, 4a18c9e0-e43c-11e9-90c3-45c3f76c0e47, 51/4a18c9e0e43c11e990c345c3f76c0e47
