,Frequency,Location,PLU,ItemName,Most_Recent_LoggedDate
258,96,Hingham,46000005678,Chicken Cacciatore,2019-12-13
259,93,Hingham,46000063821,Pumpkin Pancakes,2019-12-13
260,92,Hingham,46000050492,Scrambled Egg Whites,2019-12-15
261,91,Hingham,46000024654,Breakfast Sausage,2019-12-14
262,90,Hingham,46000018498,Double Cheddar Broccoli Soup,2019-12-11
263,90,Hingham,46000028962,Maria's Beef Meatballs,2019-12-15
264,88,Hingham,46000030553,Thai Peanut Chicken Thighs,2019-12-12
265,87,Hingham,46000062848,Roasted Tomatoes,2019-12-15
266,85,Hingham,46000058382,Breakfast Potatoes,2019-12-15
267,83,Hingham,46000029306,Sauerkraut & Sweet Potato Pierogis,2019-12-15
268,82,Hingham,46000059679,Sautéed Peppers & Onions,2019-12-15
269,82,Hingham,46000017196,Sweet Chili Pollock,2019-12-11
270,79,Hingham,46000064784,Roasted Sweet Potato,2019-12-15
271,78,Hingham,46000064385,Brown Rice,2019-12-15
272,74,Hingham,46000064890,Green Beans with Roasted Garlic,2019-11-15
273,73,Hingham,46000064386,Cooked White Rice,2019-12-15
274,73,Hingham,46000008996,Tofu Breakfast Scramble,2019-12-13
275,71,Hingham,46000025410,Fried Pollock,2019-11-23
276,63,Hingham,46000007360,Organic Fresh Fields Greens,2019-12-13
277,63,Hingham,46000030552,Sweet Chili Green Beans,2019-12-09
278,57,Hingham,46000006968,Spicy Broccoli,2019-12-13
279,56,Hingham,46000064401,Caesar Salad,2019-12-15
280,56,Hingham,46000011086,Vegetable Spring Rolls,2019-12-10
281,54,Hingham,46000022022,Creamed Spinach & Kale,2019-12-08
282,53,Hingham,28452000000,Grilled Chicken Breast,2019-12-03
283,49,Hingham,46000028911,Roasted Mustard Ale Potatoes & Dill,2019-12-10
284,48,Hingham,46000029497,Agrodulce Carrots,2019-11-25
285,47,Hingham,46000019792,Broccoli & Grilled Sweet Onions,2019-12-10
286,47,Hingham,46000000782,Cranberry Walnut Kale Salad,2019-12-13
287,47,Hingham,46000055863,Romaine Lettuce,2019-12-13
288,46,Hingham,46000021989,Cranberry Cashew Brussels Sprouts Salad,2019-12-11
289,45,Hingham,46000020371,Cider Mustard Pork Loin,2019-11-11
290,45,Hingham,46000029305,Creamy Smoked Mushroom Meatloaf,2019-12-10
291,43,Hingham,46000008487,Cucumbers,2019-11-22
292,42,Hingham,46000064400,Mesclun Goat Cheese Salad,2019-12-15
293,41,Hingham,46000028994,Paleo Friendly Roasted Romanesco,2019-12-05
294,40,Hingham,46000018399,Honey Mustard Chicken & Spinach Salad,2019-12-07
295,40,Hingham,46000020417,Traditional Herb Stuffing,2019-12-04
296,39,Hingham,46000064658,Sesame Chicken Salad,2019-12-13
297,39,Hingham,46000003328,Spinach Feta Orzo,2019-12-12
298,38,Hingham,46000055341,Cauliflower & Radicchio Salad,2019-12-13
299,38,Hingham,46000030037,Green Beans & Shallots,2019-12-14
300,37,Hingham,46000030554,Ginger Lime Sweet Potato with Crispy Onion,2019-12-09
301,36,Hingham,46000028908,Apple Cider Glazed Carrots,2019-12-15
302,36,Hingham,46000055340,Broccolini & Bowtie Pasta Salad,2019-12-13
303,36,Hingham,46000055777,Celery,2019-12-13
304,36,Hingham,46000055825,Green Grapes,2019-12-13
305,36,Hingham,46000055832,Hard Boiled Egg,2019-10-23
306,36,Hingham,46000055917,Radishes,2019-11-29
307,35,Hingham,46000055714,Arugula,2019-12-13
308,35,Hingham,46000029299,Cacio e Pepe Brussels Sprouts,2019-12-14
309,35,Hingham,46000063908,Hearts of Palm Salad,2019-12-09
310,34,Hingham,46000055742,Black Beans,2019-12-05
311,34,Hingham,46000014320,Butternut Squash Salad,2019-12-10
312,34,Hingham,46000024077,Chinese Black Pepper Green Beans,2019-11-27
313,34,Hingham,46000007337,Cooked Red Beets,2019-11-12
314,34,Hingham,46000028995,Paleo Friendly Roasted Butternut Squash,2019-12-10
315,33,Hingham,46000064572,Lemon Parsley Pollock,2019-12-11
316,33,Hingham,46000055893,Organic Peas,2019-12-13
317,33,Hingham,46000055881,Organic Red Onions,2019-12-05
318,33,Hingham,46000028992,Paleo Friendly Roasted Cremini Mushrooms,2019-11-20
319,33,Hingham,46000006971,Spanish Potato Salad,2019-12-08
320,32,Hingham,46000021416,Artichoke Hearts,2019-11-12
321,32,Hingham,46000055751,Broccoli,2019-10-31
322,32,Hingham,46000055820,Garbanzo Beans,2019-11-26
323,32,Hingham,46000059671,Hummus,2019-11-22
324,32,Hingham,24249500000,Italian Style Roast Beef,2019-12-08
325,32,Hingham,46000064395,Low Fat Vanilla Yogurt,2019-12-15
326,32,Hingham,46000055736,Mixed Bell Peppers,2019-10-23
327,32,Hingham,46000028996,Paleo Friendly Roasted Zucchini,2019-12-07
328,31,Hingham,46000058346,Chickpea Salad,2019-12-14
329,31,Hingham,46000030030,Collard Greens & Tomatoes,2019-12-11
330,31,Hingham,46000058735,Dolmas,2019-11-15
331,31,Hingham,46000060636,Feta Cheese,2019-12-14
332,31,Hingham,46000028993,Paleo Friendly Roasted Red Bell Peppers,2019-10-27
333,30,Hingham,46000064399,Greek Salad,2019-12-15
334,30,Hingham,46000007338,Kalamata Olives,2019-11-12
335,30,Hingham,46000055794,Organic Corn,2019-12-13
336,29,Hingham,46000007288,Blue Cheese Crumbles,2019-10-23
337,29,Hingham,46000055775,Cauliflower,2019-12-13
338,29,Hingham,46000064782,Eggless Tofu Salad,2019-10-23
339,29,Hingham,46000064783,Grilled Tofu,2019-11-07
340,29,Hingham,46000023228,Mushroom & Herb Meatloaf,2019-11-30
341,29,Hingham,46000056506,Roasted Garlic,2019-10-23
342,29,Hingham,46000055933,Spinach,2019-12-13
343,28,Hingham,46000060637,Goat Cheese,2019-10-23
344,28,Hingham,46000007116,Grated Parmesan,2019-10-23
345,28,Hingham,46000059425,Roasted Red Peppers,2019-12-12
346,28,Hingham,46000013171,Turmeric Roasted Sweet Potatoes,2019-10-23
347,28,Hingham,46000059666,Tzatziki,2019-10-23
348,28,Hingham,46000064396,Vanilla Almond Granola,2019-10-23
349,27,Hingham,46000029439,Apple Cheddar Brussels Sprout Slaw,2019-12-11
350,26,Hingham,46000029302,Butternut Pollock with Garlic & Chili,2019-11-17
351,26,Hingham,46000029433,Roasted Beets with Pear & Cranberry,2019-12-06
352,25,Hingham,46000063709,Buffalo Chicken Wings,2019-12-03
353,24,Hingham,46000029845,Cranberry Beans,2019-12-14
354,24,Hingham,46000055772,Shredded Carrots,2019-10-23
355,23,Hingham,27089400000,Grilled Salmon,2019-10-25
356,23,Hingham,46000030044,Mushroom Etouffee,2019-12-14
357,22,Hingham,46000064906,Moroccan Beet Salad,2019-12-10
358,21,Hingham,46000028910,Apple Cider Greens,2019-11-13
359,21,Hingham,46000028909,Mustard Ale Glazed Chicken Breast,2019-12-12
360,21,Hingham,46000029060,Sicilian Cauliflower,2019-12-10
361,20,Hingham,46000028876,Carrot Cranberry Salad,2019-11-15
362,20,Hingham,46000059427,Snow Peas,2019-10-18
363,20,Hingham,46000059704,Teriyaki Chicken Thighs,2019-12-15
364,19,Hingham,46000025168,Charred Broccolini Caesar Salad,2019-12-13
365,18,Hingham,46000020405,Kale Sauteed with Mushrooms,2019-11-14
366,18,Hingham,46000055943,Tomatoes,2019-10-23
367,17,Hingham,46000029440,Cheese Tortellini with Kale & Apple,2019-12-10
368,17,Hingham,46000020370,Cider Mustard Potatoes,2019-11-14
369,17,Hingham,46000003326,Falafel,
370,17,Hingham,46000011087,Zucchini Noodles,2019-12-13
371,16,Hingham,46000007289,Baked Barbeque Chicken,2019-12-11
372,16,Hingham,46000007160,Chicken Caesar Pasta Salad,2019-11-24
373,16,Hingham,46000029498,Fig Balsamic Mushrooms,2019-11-12
374,16,Hingham,46000029434,Game Day Chicken Salad with Bacon,2019-11-16
375,16,Hingham,46000029437,Roasted Turkey and Apricot Salad,2019-12-13
376,16,Hingham,46000025414,Stuffed Peppers with Beef & Mixed Rice,2019-12-13
377,16,Hingham,27690800000,Sweet Chili Tofu,2019-12-12
378,15,Hingham,46000028906,Pickled Pepper Brussels Sprouts,2019-12-12
379,15,Hingham,46000029436,Spicy Peanut Tofu Curry,2019-12-15
380,15,Hingham,46000008373,Teriyaki Chicken Wings,2019-12-04
381,14,Hingham,46000059670,Sesame Noodles,2019-12-02
382,14,Hingham,46000029308,Turkey Mushroom Bacon Pot Pie,2019-11-12
383,13,Hingham,46000029438,Baked Tofu Waldorf Salad,2019-11-15
384,13,Hingham,46000016104,Organic Rainbow Cherry Tomato,2019-10-22
385,13,Hingham,46000028964,Roasted Cauliflower with Peppadews,2019-12-08
386,13,Hingham,46000063814,Tofu Pepper Scramble,2019-12-14
387,11,Hingham,46000029301,Chicken Breast with Apples & Bacon,2019-12-15
388,11,Hingham,46000029307,Chicken Mushroom Bacon Pot Pie,2019-11-13
389,11,Hingham,46000004373,Mushroom & Barley Soup,2019-12-14
390,11,Hingham,26488200000,Steel Cut Oatmeal,2019-11-18
391,10,Hingham,46000028875,Curry Caulilini & Roasted Grape,2019-12-13
392,10,Hingham,9948248921,SOUP VEGAN PUMPKIN,2019-12-15
393,8,Hingham,46000028899,Balsamic Chicken Thighs,2019-12-01
394,8,Hingham,46000025412,"Beef, Feta Olive HB NA",2019-12-15
395,8,Hingham,46000025412,"Beef, Feta Olive HB NA",2019-10-04
396,8,Hingham,46000027416,Caribbean Mango Chicken Wings,2019-10-18
397,8,Hingham,46000064603,Golden Sesame Tofu,2019-10-07
398,8,Hingham,46000015649,Lemon Parsley Haddock,2019-12-07
399,8,Hingham,46000055932,Organic Spinach,2019-10-22
400,8,Hingham,46000058486,Prosciutto Roasted Brussels Sprouts,2019-11-04
401,8,Hingham,9948248557,SOUP AROMATIC BUTTERNUT,2019-12-14
402,8,Hingham,46000024571,Salt & Vinegar Carrots,2019-11-14
403,8,Hingham,46000007293,Thai Chili Baked Chicken,2019-11-17
404,8,Hingham,46000029637,Yellow Wax Beans,2019-11-11
405,8,Hingham,46000014704,Zucchini Roasted Tomatoes,2019-10-26
406,7,Hingham,46000029435,Cremini Insalata Tricolore,2019-11-30
407,7,Hingham,46000055738,Red Bell Peppers,2019-11-21
408,7,Hingham,46000013789,Split Pea Soup,2019-10-17
409,6,Hingham,46000018408,"Cauliflower, Kounoupidi with Pistachios & Mint HB NA",2019-12-15
410,6,Hingham,46000028907,Mustard Ale Brussels Sprouts,2019-10-31
411,6,Hingham,46000059701,"Pollock, Olive Tomato & Parsley HSH NA",2019-12-15
412,6,Hingham,46000055770,Rainbow Carrots,2019-10-23
