PLU,Item_Name,min
46000018500,Turkey Chili with White Beans,2019-10-01
46000019137,Lemon Garlic Broccolini,2019-10-01
46000019792,Broccoli & Grilled Sweet Onions,2019-10-01
46000019851,MAC CHEESE PEA BACON BRDCRMB HB,2019-10-01
46000020370,Cider Mustard Potatoes,2019-10-01
46000029300,Butternut Orange Cauliflower Wedges,2019-10-01
46000029299,Cacio e Pepe Brussels Sprouts,2019-10-01
46000020370,"Potatoes, Cider Mustard",2019-10-01
46000020371,Cider Mustard Pork Loin,2019-10-01
46000029060,Sicilian Cauliflower,2019-10-01
46000020405,Sauteed Kale w/ Mushrooms ,2019-10-01
46000029060,"Cauliflower, Sicilian",2019-10-01
46000028996,Paleo Roasted Squash Zucchini,2019-10-01
46000028996,Paleo Friendly Roasted Zucchini,2019-10-01
46000020411,Chili Garlic Cauliflower,2019-10-01
46000028995,Paleo Friendly Roasted Butternut Squash,2019-10-01
46000020429,Chicken White Bean,2019-10-01
46000028994,Paleo Friendly Roasted Romanesco,2019-10-01
46000028993,Paleo Roasted Red Bell Peppers,2019-10-01
46000028993,Paleo Friendly Roasted Red Bell Peppers,2019-10-01
46000018400,Tortellini & Sopressata ,2019-10-01
46000029305,Creamy Smoked Mushroom Meatloaf,2019-10-01
46000029500,Pollock Puttanesca,2019-10-01
46000018118,CAKES CORN RED PEPPER,2019-10-01
46000016104,Organic Rainbow Cherry Tomato,2019-10-01
46000016104,TOMATO CHERRY RAINBOW OG,2019-10-01
46000016160,Buttered Chicken Meatballs,2019-10-01
46000029438,Waldorf Tofu Salad,2019-10-01
46000029438,Baked Tofu Waldorf Salad,2019-10-01
46000016508,Moms Chicken Soup,2019-10-01
46000029436,Spicy Peanut Tofu Curry,2019-10-01
46000016509,New England Clam Chowder,2019-10-01
46000029434,Game Day Chicken Salad with Bacon,2019-10-01
46000029434,Chicken Game Day Salad,2019-10-01
46000016511,Nana's Chicken Noodle Soup,2019-10-01
46000029309,Salt & Vinegar Fingerlings,2019-10-01
46000016511,Nanas Chicken Noodle Soup,2019-10-01
46000016512,Tomato Parmesan Soup,2019-10-01
46000029309,"Potatoes, Fingerling Fried Salt & Vinegar",2019-10-01
46000016512,Tomato Parmesean Soup,2019-10-01
46000017196,"Pollock, Sweet Chili",2019-10-01
46000018073,CHICKEN THIGH SMOKED MAGNET,2019-10-01
46000018074,Smoked Boneless Chicken Thighs,2019-10-01
46000018075,Sublime Swine Smoked Pulled Pork,2019-10-01
46000018075,Sublime Swine Smoked Pulled Pork ,2019-10-01
46000018076,Blackened Potatoes,2019-10-01
46000018077,Garlic Parm & Pepper Potatoes,2019-10-01
46000020768,Roasted Bier Brats with Apples & Cabbage Oktoberfest,2019-10-01
46000028992,Paleo Friendly Roasted Cremini Mushrooms,2019-10-01
46000020867,Loaded Cheeseburger Macaroni & Cheese,2019-10-01
46000028980,Caraway & Dill Green Beans,2019-10-01
46000024077,Chinese Black Pepper Green Beans,2019-10-01
46000024077,Chinese Black Pepper Green Beans ,2019-10-01
46000027328,Ciliegine Mozzarella,2019-10-01
46000024079,Chickpea Asparagus Radicchio ,2019-10-01
46000027163,Potato & Scallion Salad ,2019-10-01
46000027163,Grilled Potato Scallion Salad,2019-10-01
46000027159,Chicken & Scallion Salad,2019-10-01
46000027069,Champagne Dijon Potato Salad,2019-10-01
46000026995,Tomato Artichoke Cavatappi,2019-10-01
46000026993,Tomato Garlic Green Beans,2019-10-01
46000024571,"Carrots, Salt & Vinegar",2019-10-01
46000026987,Garlic Herb Chicken Thighs,2019-10-01
46000026987,"Chicken Thighs, Garlic & Herb",2019-10-01
46000026516,Summer Squash Panzanella,2019-10-01
46000026514,BBQ Peach Collard Kale Salad,2019-10-01
46000026168,Turmeric Kale Rice,2019-10-01
46000024654,Breakfast Sausage,2019-10-01
46000024761,GUACAMOLE SB,2019-10-01
46000024761,Guacamole,2019-10-01
46000025805,YUCCA FRIES CILANTRO LIME HB,2019-10-01
46000024765,Israeli Cucumber Salad,2019-10-01
46000025181,Chophouse Steak Salad ,2019-10-01
46000025413,Skillet Beef with Corn & Black Beans,2019-10-01
46000028876,Carrot Cranberry Salad,2019-10-01
46000028877,"Broccoli Rabe, Roasted Garlic",2019-10-01
46000024076,Lemon Artichoke Slaw,2019-10-01
46000022022,Creamed Spinach & Kale Kettle,2019-10-01
46000021381,Grilled Naan,2019-10-01
46000021384,Mashed Garbanso,2019-10-01
46000021385,Mashed Avocado,2019-10-01
46000021416,Artichoke Hearts,2019-10-01
46000028962,Maria's Beef Meatballs,2019-10-01
46000028911,Roasted Mustard Ale Potatoes & Dill,2019-10-01
46000021721,CAULIFLOWER CAULILINI CURRY SB,2019-10-01
46000021881,Roasted Chicken with Paprika & Olives,2019-10-01
46000021989,Cranberry Cashew Brussels Sprouts Salad,2019-10-01
46000022020,SHEPHERDS PIE BEEF HB,2019-10-01
46000028909,Mustard Ale Glazed Chicken Breast,2019-10-01
46000024075,Fennel Pistachio Lemon Vin Salad,2019-10-01
46000022419,Kale White Bean Salad,2019-10-01
46000028909,Chicken Breast Mustard Glaze,2019-10-01
46000028908,Cider Glazed Carrots,2019-10-01
46000022419,Kale White Bean Salad ,2019-10-01
46000028908,"Carrots, Apple Cider Glazed",2019-10-01
46000028908,Apple Cider Glazed Carrots,2019-10-01
46000023220,Spicy Ground Beef & Broccoli,2019-10-01
46000023228,Mushroom & Herb Meatloaf,2019-10-01
46000028906,Pickled Pepper Brussels Sprouts,2019-10-01
46000024073,Antipasto Salad,2019-10-01
46000015649,Lemon Parsley Haddock,2019-10-01
46000015079,Chicken Pasta Caesar Salad,2019-10-01
46000055881,Organic Red Onions,2019-10-01
46000055820,Chickpeas,2019-10-01
46000055808,Organic Edemame,2019-10-01
46000055807,Edamame,2019-10-01
46000055794,Organic Corn,2019-10-01
46000055793,Corn ,2019-10-01
46000055793,Corn,2019-10-01
46000007600,EGG BAKED HB,2019-10-01
46000055777,Celery,2019-10-01
46000055775,Cauliflower,2019-10-01
46000055775,CV Cauliflower,2019-10-01
46000055773,Organic Matchstick Carrots,2019-10-01
46000055772,Shredded Carrots,2019-10-01
46000007609,Kale & Brussel Sprout Salad,2019-10-01
46000055770,Rainbow Carrots,2019-10-01
46000055768,Cantelope,2019-10-01
46000055768,Cantalope,2019-10-01
46000055766,Organic Red Cabbage,2019-10-01
46000055765,Red Cabbage,2019-10-01
46000055751,CV Broccoli,2019-10-01
46000055751,Broccoli,2019-10-01
46000055747,Blueberries,2019-10-01
46000055744,Blackberries,2019-10-01
46000055742,Black Beans,2019-10-01
46000007685,Salmon Caesar Salad,2019-10-01
46000055812,Farro,2019-10-01
46000055820,Garbanzo Beans,2019-10-01
46000015079,Chicken Ceasar Pasta Salad,2019-10-01
46000055823,Gigande,2019-10-01
46000055880,Diced Red Onion,2019-10-01
46000055878,CV Green Onions,2019-10-01
46000055877,Olives,2019-10-01
46000055871,Slice Button Mushrooms,2019-10-01
46000055863,Romaine Lettuce,2019-10-01
46000025410,Fried Pollock,2019-10-01
46000007477,Summer Squash ,2019-10-01
46000055854,Lemon Wedges,2019-10-01
46000055848,Kidney Beans,2019-10-01
46000055843,Organic Kale,2019-10-01
46000055842,Kale,2019-10-01
46000007560,TOFU SCRAMBLE BREAKFAST HB,2019-10-01
46000055836,Honeydew Melon,2019-10-01
46000055836,Honeydew,2019-10-01
46000055834,Hearts of Palm,2019-10-01
46000055832,Hard Boiled Eggs ,2019-10-01
46000055832,Hard Boiled Eggs,2019-10-01
46000055832,Hard Boiled Egg,2019-10-01
46000055832,Hard Boild Eggs,2019-10-01
46000007582,Chicken Tenders,2019-10-01
46000055827,Red Grapes ,2019-10-01
46000055827,Grapes,2019-10-01
46000055825,Green Grapes,2019-10-01
46000055736,Mixed Sliced Peppers,2019-10-01
46000055736,Mixed Peppers,2019-10-01
46000055736,Mixed Bell Peppers,2019-10-01
46000055733,BEETS SHREDDED OG SB,2019-10-01
46000010703,Tailgate Coleslaw,2019-10-01
46000011087,Zucchini Noodle,2019-10-01
46000011087,Zucchini Noodles,2019-10-01
46000011089,Beet Noodle,2019-10-01
46000011094,Texas Barbeque Ribs,2019-10-01
46000011157,Fried Buffalo Chicken Strips,2019-10-01
46000011734,Shredded Parmesan,2019-10-01
46000011889,Fall Harvest Salad,2019-10-01
46000012679,"Chicken, Orange",2019-10-01
46000029962,"Chicken, Spicy Kerala Pepper",2019-10-01
46000012696,Berry mix,2019-10-01
46000012696,Mixed Berries,2019-10-01
46000029960,"Chicken, Mangalore Ghee ",2019-10-01
46000013170,Seasonal Citrus ,2019-10-01
46000013171,Turmeric Roasted Sweet Potatoes,2019-10-01
46000029958,"Sweet Potato, Mangalore Ghee with Spinach ",2019-10-01
46000029957,"Vegetable Korma, Hyderabadi Cashew",2019-10-01
46000013789,Split Pea Soup,2019-10-01
46000014318,Balsamic Mushrooms,2019-10-01
46000029845,Cranberry Beans,2019-10-01
46000014320,Butternut Squash Salad,2019-10-01
46000029505,Garlic Parm Pork Loin with Broccoli Rabe,2019-10-01
46000015070,Chicken Tenders,2019-10-01
46000010703,SALAD TAILGATE COLESLAW SB,2019-10-01
46000010550,Roasted Mushrooms ,2019-10-01
46000010550,Roasted Mushrooms,2019-10-01
46000008433,POTATO HOME FRIES HB,2019-10-01
46000055729,Golden Beets,2019-10-01
46000055728,BEETS CV SB,2019-10-01
46000008060,"Meatloaf, BBQ Beef",2019-10-01
46000055715,Organic Arugula,2019-10-01
46000055714,Arugula,2019-10-01
46000055711,Artichokes,2019-10-01
46000008373,Teriyaki Wings,2019-10-01
46000050492,Scrambled Egg Whites,2019-10-01
46000050195,Quiche Lorraine,2019-10-01
46000008385,Pita Bread,2019-10-01
46000050194,QUICHE FLORENTINE 24OZ HB,2019-10-01
46000010550,3 Way Roasted Mushroom Seasonal,2019-10-01
46000050193,QUICHE BROCCOLI CHEDDAR 24OZ HB,2019-10-01
46000008434,POTATO HASH BROWN WITH BUTTER HB,2019-10-01
46000008487,Cucumber Rounds,2019-10-01
46000008487,Cucumbers,2019-10-01
46000008992,EGG BELL PEPPER HB,2019-10-01
46000008996,Tofu Breakfast Scramble,2019-10-01
46000010080,Seafood Salad,2019-10-01
46000010140,"Potatoes, Patate Al Forne",2019-10-01
46000010510,Collard Greens w/ Garlic,2019-10-01
46000010510,Collard Greens w/ Garlic ,2019-10-01
00449791900,FRIES .3IN REGULAR CUT NO TRANSFAT,2019-10-01
