PLU,Item_Name,min
46000010140,Chipotle Lime Tofu,2019-11-04
46000004688,Garlic Lime Chicken,2019-11-04
46000013629,Queso Sauce,2019-11-04
46000055838,Fresh Jalapenos,2019-11-04
46000023455,Citrus Fajita Veggies,2019-11-04
46000023454,Pork Al Pastor,2019-11-04
46000023453,Cilantro Lime Cauliflower Rice,2019-11-04
46000056666,Beef Barbacoa,2019-11-04
46000029960,"Chicken, Mangalore Ghee",2019-11-02
46000029918,"Tofu, Ginger Coriander",2019-11-02
46000028980,"Green Beans, Caraway Dill",2019-11-02
46000055911,White Quinoa,2019-11-02
46000064885,"Nuggets, Sesame Vegan HB NA",2019-11-01
46000026023,Thai Coconut Shrimp Soup,2019-10-31
46000020417,Traditional Herb Stuffing,2019-10-31
46000024415,"Passover, Rosemary Roasted Potatoes with Lemon HB CE",2019-10-31
46000030037,Green Beans & Shallots (hot bar set only- not part of meal),2019-10-31
46000064890,Green Beans With Roasted Garlic NA,2019-10-31
46000029302,"Fish, Baked with Butternut Sauce Garlic & Chili HB NA",2019-10-31
46000030025,Vegan Cornbread Dressing,2019-10-30
46000029305,"Meatloaf, Creamy Smoked Mushroom HB NA",2019-10-30
46000010510,Sauteed Collard Greens,2019-10-30
46000020411,"Cauliflower, Roasted Chile & Garlic HB NA",2019-10-30
46000030044,Mushroom Etouffee,2019-10-30
46000020407,"Sweet Potato, Maple Roasted HB NA",2019-10-30
46000030037,Green Beans & Shallots,2019-10-30
46000018687,"Burger, Beef with Mushrooms & Onions HB NA",2019-10-30
46000030030,Collard Greens & Tomatoes,2019-10-30
46000029300,"Cauliflower, Wedges with Butternut Orange Sauce HB NA",2019-10-30
46000011745,"Cauliflower, Curry Roasted with Peas",2019-10-30
46000030014,Black Eyed Pea Fritters Chef LMT HB CE,2019-10-30
46000007581,"Potatoes, Roasted Garlic & Rosemary HB NA",2019-10-30
46000060421,Creamy Mashed Potatoes,2019-10-30
46000008982,Fried Buffalo Cauliflower,2019-10-30
46000028909,"Chicken Breast, Mustard Ale Glazed PGI HB CE",2019-10-29
46000020408,Honey Sriracha Fried Tofu,2019-10-29
46000025814,Cumin Roasted Vegetables,2019-10-29
46000029299,"Brussels Sprouts, Cacio e Pepe HB NA",2019-10-28
46000020405,Sauteed Kale w/ Mushrooms,2019-10-28
46000029503,Pumpkin Tortellini,2019-10-28
46000028908,"Carrots, Apple Cider Glazed PGI HB CE",2019-10-28
95502,Salad Bar,2019-10-27
46000050193,Broccoli Cheddar Quiche,2019-10-25
46000029308,Turkey Mushroom Bacon Pot Pie,2019-10-25
46000029301,"Chicken Breast, Apple Cider Glazed",2019-10-25
25725600000,KALE PAD THAI SALAD SWEET SPICY HSH CC,2019-10-24
46000027005,Mediterranean Roasted Sweet Potato,2019-10-24
46000028899,Balsamic Chicken Thighs,2019-10-24
46000063820,Buttermilk Pancakes,2019-10-24
46000029060,"Cauliflower, Sicilian ",2019-10-24
46000063307,Cumin Roasted Carrots,2019-10-23
46000008652,Black Olives,2019-10-23
46000055953,Wheatberries,2019-10-22
46000029637,Yellow Wax Beans,2019-10-22
26489600000,Egg & Cheese Sandwich on an English Muffin,2019-10-22
81445302812,DRESSING PICKLED PEPPER VINAIGRETTE,2019-10-22
46000064546,Red Chili Flakes,2019-10-22
46000005957,Black Pepper,2019-10-22
24243900000,BURRITO BREAKFAST EGG,2019-10-21
46000063712,Bangkok Chicken Wings,2019-10-21
46000020414,Mashed Butternut Squash,2019-10-21
46000029501,Pancetta & Sage Sweet Potatoes,2019-10-20
46000008442,"Beet, Kale, and Mango Salad",2019-10-20
46000055918,Organic Radish,2019-10-19
46000029307,Chicken Mushroom Bacon Pot Pie,2019-10-19
46000024415,"Passover, Rosemary Roasted Potatoes with Lemon",2019-10-19
46000007293,Thai Chili Baked Chicken,2019-10-18
