,Pan_ID,PLU,0
0,100.0,26120900000,3
1,100.0,27661300000,5
2,100.0,27661900000,2
3,100.0,27848700000,2
4,100.0,27994400000,3
5,100.0,28452000000,1
6,100.0,46000001661,1
7,100.0,46000003438,3
8,100.0,46000005678,1
9,100.0,46000006607,1
10,100.0,46000007476,2
11,100.0,46000007477,1
12,100.0,46000007609,2
13,100.0,46000008060,1
14,100.0,46000008996,1
15,100.0,46000010550,1
16,100.0,46000013170,3
17,100.0,46000015079,4
18,100.0,46000018400,3
19,100.0,46000018433,2
20,100.0,46000020405,1
21,100.0,46000021385,1
22,100.0,46000022419,3
23,100.0,46000024072,1
24,100.0,46000024075,3
25,100.0,46000024076,3
26,100.0,46000024077,4
27,100.0,46000024079,3
28,100.0,46000024575,1
29,100.0,46000025181,1
30,100.0,46000027069,3
31,100.0,46000027159,4
32,100.0,46000027163,4
33,100.0,46000055714,2
34,100.0,46000055729,1
35,100.0,46000055736,2
36,100.0,46000055744,3
37,100.0,46000055747,3
38,100.0,46000055768,6
39,100.0,46000055793,1
40,100.0,46000055807,1
41,100.0,46000055812,1
42,100.0,46000055820,1
43,100.0,46000055823,1
44,100.0,46000055827,3
45,100.0,46000055832,2
46,100.0,46000055834,1
47,100.0,46000055836,4
48,100.0,46000055842,2
49,100.0,46000055848,1
50,100.0,46000055863,6
51,100.0,46000055892,1
52,100.0,46000055911,2
53,100.0,46000055923,4
54,100.0,46000055938,4
55,100.0,46000056506,1
56,100.0,46000057474,2
57,100.0,46000058382,1
58,100.0,46000059426,2
59,100.0,46000059699,1
60,100.0,46000059700,2
61,100.0,46000059701,1
62,100.0,46000060011,1
63,100.0,46000060285,4
64,100.0,46000060414,1
65,100.0,46000063050,4
66,100.0,46000063819,1
67,100.0,46000064022,1
68,100.0,46000064399,1
69,100.0,46000064401,1
70,100.0,46000064603,2
71,100.0,46000064783,2
72,100.0,46000064784,1
73,100.0,46000064940,1
74,100.0,46000065008,1
75,100.0,46000065097,1
76,101.0,26120900000,5
77,101.0,26747000000,1
78,101.0,27661300000,4
79,101.0,27661900000,4
80,101.0,27994400000,1
81,101.0,28452000000,2
82,101.0,46000003326,2
83,101.0,46000003438,1
84,101.0,46000006607,2
85,101.0,46000007476,3
86,101.0,46000007477,2
87,101.0,46000007582,4
88,101.0,46000007609,1
89,101.0,46000008060,6
90,101.0,46000010550,3
91,101.0,46000013170,6
92,101.0,46000016511,1
93,101.0,46000018075,5
94,101.0,46000018076,2
95,101.0,46000018400,4
96,101.0,46000018433,2
97,101.0,46000020405,1
98,101.0,46000021385,1
99,101.0,46000022419,1
100,101.0,46000024072,1
101,101.0,46000024075,1
102,101.0,46000024076,1
103,101.0,46000024077,1
104,101.0,46000024079,2
105,101.0,46000024081,3
106,101.0,46000024575,1
107,101.0,46000025181,1
108,101.0,46000025411,1
109,101.0,46000027069,1
110,101.0,46000027159,1
111,101.0,46000027163,1
112,101.0,46000055714,1
113,101.0,46000055729,4
114,101.0,46000055736,3
115,101.0,46000055744,5
116,101.0,46000055747,5
117,101.0,46000055768,4
118,101.0,46000055793,2
119,101.0,46000055807,2
120,101.0,46000055812,3
121,101.0,46000055820,2
122,101.0,46000055823,2
123,101.0,46000055827,5
124,101.0,46000055832,3
125,101.0,46000055834,2
126,101.0,46000055836,4
127,101.0,46000055842,2
128,101.0,46000055848,2
129,101.0,46000055863,5
130,101.0,46000055892,2
131,101.0,46000055903,4
132,101.0,46000055911,2
133,101.0,46000055923,3
134,101.0,46000055938,3
135,101.0,46000055943,3
136,101.0,46000056506,1
137,101.0,46000057474,1
138,101.0,46000058735,1
139,101.0,46000059365,1
140,101.0,46000059425,1
141,101.0,46000059426,2
142,101.0,46000059671,1
143,101.0,46000060285,1
144,101.0,46000060414,1
145,101.0,46000063050,4
146,101.0,46000063709,1
147,101.0,46000064022,1
148,101.0,46000064399,3
149,101.0,46000064401,1
150,101.0,46000064603,1
151,101.0,46000064783,2
152,101.0,46000064891,1
153,102.0,28452000000,1
154,102.0,46000006607,1
155,102.0,46000007477,1
156,102.0,46000007609,1
157,102.0,46000020411,1
158,102.0,46000024575,1
159,102.0,46000055820,1
160,102.0,46000055848,1
161,102.0,46000055863,1
162,102.0,46000059426,1
163,102.0,46000059699,1
164,102.0,46000064022,1
165,102.0,46000065097,1
166,103.0,26747000000,2
167,103.0,28452000000,1
168,103.0,46000003326,1
169,103.0,46000007290,1
170,103.0,46000018074,1
171,103.0,46000019137,1
172,103.0,46000024575,1
173,103.0,46000055729,1
174,103.0,46000055793,1
175,103.0,46000055823,1
176,103.0,46000056506,1
177,103.0,46000057474,1
178,103.0,46000058735,1
179,103.0,46000059365,1
180,103.0,46000059425,1
181,103.0,46000059700,1
182,103.0,46000059701,1
183,103.0,46000060414,1
184,103.0,46000063819,1
185,103.0,46000064783,1
186,104.0,22593200000,1
187,104.0,26747000000,1
188,104.0,27848700000,1
189,104.0,28452000000,3
190,104.0,46000001661,1
191,104.0,46000003326,1
192,104.0,46000005678,48
193,104.0,46000007290,1
194,104.0,46000007582,9
195,104.0,46000007609,1
196,104.0,46000008060,13
197,104.0,46000008373,30
198,104.0,46000008996,3
199,104.0,46000010510,4
200,104.0,46000016509,3
201,104.0,46000016511,1
202,104.0,46000018074,1
203,104.0,46000018075,18
204,104.0,46000018077,1
205,104.0,46000018079,8
206,104.0,46000018433,1
207,104.0,46000018499,1
208,104.0,46000019137,3
209,104.0,46000020405,1
210,104.0,46000020411,2
211,104.0,46000024072,2
212,104.0,46000024077,1
213,104.0,46000024081,1
214,104.0,46000024575,1
215,104.0,46000025411,52
216,104.0,46000025644,1
217,104.0,46000029958,2
218,104.0,46000029959,1
219,104.0,46000055714,1
220,104.0,46000055744,1
221,104.0,46000055820,1
222,104.0,46000055836,1
223,104.0,46000055863,3
224,104.0,46000055938,1
225,104.0,46000057474,2
226,104.0,46000058382,3
227,104.0,46000058735,1
228,104.0,46000059365,1
229,104.0,46000059671,1
230,104.0,46000059699,8
231,104.0,46000059700,11
232,104.0,46000059701,1
233,104.0,46000060011,1
234,104.0,46000060414,4
235,104.0,46000063050,1
236,104.0,46000063709,22
237,104.0,46000063712,27
238,104.0,46000063817,1
239,104.0,46000063819,3
240,104.0,46000064399,1
241,104.0,46000064401,1
242,104.0,46000064443,1
243,104.0,46000064603,1
244,104.0,46000064783,2
245,104.0,46000064784,2
246,104.0,46000064881,2
247,104.0,46000064890,2
248,104.0,46000064891,1
249,104.0,46000064940,6
250,104.0,46000065097,1
251,105.0,27661300000,1
252,105.0,27848700000,2
253,105.0,27994400000,1
254,105.0,28452000000,1
255,105.0,46000003326,1
256,105.0,46000003438,1
257,105.0,46000003990,1
258,105.0,46000004910,4
259,105.0,46000005582,1
260,105.0,46000007477,1
261,105.0,46000007582,92
262,105.0,46000007609,1
263,105.0,46000008060,2
264,105.0,46000008373,9
265,105.0,46000016509,1
266,105.0,46000016511,2
267,105.0,46000018075,2
268,105.0,46000018076,1
269,105.0,46000018499,1
270,105.0,46000019137,1
271,105.0,46000020405,2
272,105.0,46000021385,1
273,105.0,46000024077,1
274,105.0,46000024079,1
275,105.0,46000024575,1
276,105.0,46000025181,1
277,105.0,46000025411,1
278,105.0,46000027159,1
279,105.0,46000027163,1
280,105.0,46000055714,1
281,105.0,46000055736,1
282,105.0,46000055834,1
283,105.0,46000055842,1
284,105.0,46000055863,1
285,105.0,46000055938,1
286,105.0,46000057474,1
287,105.0,46000058382,4
288,105.0,46000058735,1
289,105.0,46000059365,1
290,105.0,46000059425,1
291,105.0,46000059671,1
292,105.0,46000060270,1
293,105.0,46000060285,2
294,105.0,46000063709,23
295,105.0,46000063712,1
296,105.0,46000064022,1
297,105.0,46000064443,2
298,105.0,46000064603,1
299,105.0,46000064783,1
300,105.0,46000064890,1
301,105.0,46000064891,1
302,106.0,22593200000,17
303,106.0,26747000000,36
304,106.0,27661300000,1
305,106.0,27661900000,2
306,106.0,27994400000,2
307,106.0,28452000000,1
308,106.0,46000001661,10
309,106.0,46000003326,1
310,106.0,46000003438,1
311,106.0,46000003990,14
312,106.0,46000004373,2
313,106.0,46000005678,13
314,106.0,46000007290,16
315,106.0,46000007476,1
316,106.0,46000007582,2
317,106.0,46000007609,1
318,106.0,46000008060,12
319,106.0,46000008373,7
320,106.0,46000008996,6
321,106.0,46000010510,9
322,106.0,46000013170,1
323,106.0,46000016511,1
324,106.0,46000018074,26
325,106.0,46000018075,12
326,106.0,46000018076,12
327,106.0,46000018077,15
328,106.0,46000018079,1
329,106.0,46000018400,2
330,106.0,46000018433,1
331,106.0,46000019137,1
332,106.0,46000020405,21
333,106.0,46000020411,9
334,106.0,46000022419,1
335,106.0,46000024075,2
336,106.0,46000024076,2
337,106.0,46000024077,1
338,106.0,46000024079,1
339,106.0,46000025181,1
340,106.0,46000025411,7
341,106.0,46000025643,1
342,106.0,46000026168,11
343,106.0,46000027069,1
344,106.0,46000027163,1
345,106.0,46000029060,3
346,106.0,46000029957,17
347,106.0,46000029958,21
348,106.0,46000029960,23
349,106.0,46000029962,22
350,106.0,46000055714,1
351,106.0,46000055744,1
352,106.0,46000055747,1
353,106.0,46000055768,1
354,106.0,46000055793,1
355,106.0,46000055836,2
356,106.0,46000055842,1
357,106.0,46000055863,3
358,106.0,46000055892,1
359,106.0,46000055938,1
